question,intent
Quels sont les atouts de la FSO par rapport aux autres facultés ?,faculty_general_info
Où puis-je consulter les statistiques ou rapports annuels de la faculté ?,faculty_general_info
Quels sont les objectifs éducatifs de la faculté des Sciences?,faculty_general_info
Comment la faculté des Sciences soutient-elle ses étudiants?,faculty_general_info
Où puis-je trouver le calendrier académique de la faculté des Sciences?,faculty_general_info
What is the official description of the Faculty of Science at UMP?,faculty_general_info
Can you give me a general overview of FSO?,faculty_general_info
What are the basic information about the Faculty of Science?,faculty_general_info
How is the Faculty of Science at Mohammed Premier University organized?,faculty_general_info
What are the main features of FSO?,faculty_general_info
Where can I find general information about the Faculty of Science?,faculty_general_info
What is the history of the Faculty of Science's creation?,faculty_general_info
What are the main services offered by FSO?,faculty_general_info
How to get an information brochure about the faculty?,faculty_general_info
Who are the founders of UMP's Faculty of Science?,faculty_general_info
Can you give me an overview of the Faculty of Sciences at UMP?,faculty_general_info
What is the main mission of the Faculty of Sciences?,faculty_general_info
What fields of study are offered by the Faculty of Sciences?,faculty_general_info
Since when has the Faculty of Sciences at UMP existed?,faculty_general_info
How does the Faculty of Sciences operate on a daily basis?,faculty_general_info
What are the strengths of the Faculty of Sciences compared to other faculties?,faculty_general_info
Where can I find statistics or annual reports of the faculty?,faculty_general_info
What are the educational goals of the Faculty of Science?,faculty_general_info
How does the Faculty of Science support its students?,faculty_general_info
Where can I find the academic calendar of the Faculty of Science?,faculty_general_info
ما هو الوصف الرسمي لكلية العلوم بجامعة محمد الأول؟,faculty_general_info
هل يمكنك إعطائي نظرة عامة عن كلية العلوم؟,faculty_general_info
ما هي المعلومات الأساسية عن كلية العلوم؟,faculty_general_info
كيف يتم تنظيم كلية العلوم بجامعة محمد الأول؟,faculty_general_info
ما هي الخصائص الرئيسية لكلية العلوم؟,faculty_general_info
أين يمكنني العثور على معلومات عامة عن الكلية؟,faculty_general_info
ما هو تاريخ تأسيس كلية العلوم؟,faculty_general_info
ما هي الخدمات الرئيسية التي تقدمها الكلية؟,faculty_general_info
كيف يمكن الحصول على كتيب معلومات عن الكلية؟,faculty_general_info
من هم مؤسسو كلية العلوم بجامعة محمد الأول؟,faculty_general_info
هل يمكنك تقديم لمحة عن كلية العلوم بجامعة محمد الأول؟,faculty_general_info
ما هي المهمة الرئيسية لكلية العلوم؟,faculty_general_info
ما هي مجالات التعليم التي تقدمها كلية العلوم؟,faculty_general_info
منذ متى توجد كلية العلوم بجامعة محمد الأول؟,faculty_general_info
كيف تعمل كلية العلوم في حياتها اليومية؟,faculty_general_info
ما هي مميزات كلية العلوم مقارنة بالكليات الأخرى؟,faculty_general_info
أين يمكنني الاطلاع على الإحصائيات أو التقارير السنوية للكلية؟,faculty_general_info
ما هي الأهداف التعليمية لكلية العلوم؟,faculty_general_info
كيف تدعم كلية العلوم طلابها؟,faculty_general_info
أين يمكنني العثور على التقويم الأكاديمي لكلية العلوم؟,faculty_general_info
ⴷ ⴰⵛⵛⵉ ⵉ ⴷ ⴰⵙⴼⵔⵓ ⵓⵙⵍⵉⴳ ⵏ ⵜⴰⵎⴰⵣⵉⵔⵜ ⵏ ⵜⵓⵙⴽⵏⴰ ⴷ ⵎⵓⵀⴰⵎⴷ ⴰⵍⴰⵎ?,faculty_general_info
ⵜⵣⴻⵎⵔⴻⴹ ⴰⴷ ⵉⵢⵉ-ⴷ-ⵜⴻⵙⵄⴻⴹ ⵜⴰⵙⵏⴰ ⵏ ⵜⴻⵣⵎⴻⵔⵜ ⵖⴻⴼ FSO?,faculty_general_info
ⴷ ⴰⵛⵛⵉ ⵍⵍⴰⵏ ⵜⴰⵍⵖⵓⵜⵉⵏ ⵜⵉⵎⴰⵢⵏⵓⵜⵉⵏ ⵖⴻⴼ ⵜⴰⵎⴰⵣⵉⵔⵜ ⵏ ⵜⵓⵙⴽⵏⴰ?,faculty_general_info
ⴰⵎⴻⴽ ⵉ ⵜⴻⵜⵜⵡⴰⵙⴽⴻⵎ ⵜⴰⵎⴰⵣⵉⵔⵜ ⵏ ⵜⵓⵙⴽⵏⴰ ⴷ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵎⵓⵀⴰⵎⴷ ⴱⵔⵉⵎⵉⵔ?,faculty_general_info
ⴷ ⴰⵛⵛⵉ ⵍⵍⴰⵏ ⵜⵉⵎⴰⵛⵉⵏ ⵉⵎⴻⵏⵣⴰⵏ ⵏ FSO?,faculty_general_info
ⴰⵏⵉⴷⴰ ⴰⵔⴰ ⴷ-ⴰⴼⵖⴻⵖ ⵜⴰⵍⵖⵓⵜⵉⵏ ⵜⵉⵎⴰⵢⵏⵓⵜⵉⵏ ⵖⴻⴼ ⵜⴰⵎⴰⵣⵉⵔⵜ ⵏ ⵜⵓⵙⴽⵏⴰ?,faculty_general_info
ⴷ ⴰⵛⵛⵉ ⵉ ⴷ ⴰⵣⴰⵍ ⵏ ⵜⵎⴻⵔⵏⴰ ⵏ ⵜⴰⵎⴰⵣⵉⵔⵜ ⵏ ⵜⵓⵙⴽⵏⴰ?,faculty_general_info
ⴷ ⴰⵛⵛⵉ ⵍⵍⴰⵏ ⵉⵃⴻⴷⵔⴰⵏ ⵉⵎⴻⵏⵣⴰⵏ ⵉ ⴷ-ⵢⴻⵜⵜⵓⵏⴻⴼⴽⴻⵏ ⵙⵖⵓⵔ FSO?,faculty_general_info
ⴰⵎⴻⴽ ⴰⵔⴰ ⴷ-ⵏⴻⵍⵍⵉⵖ ⵉ ⵜⴼⴻⵔⴽⵉⵜ ⵏ ⵜⴻⵍⵖⵓⵜ ⵖⴻⴼ ⵜⴻⵎⴷⵉⵏⵜ?,faculty_general_info
ⴰⵏⵡⴰ ⵉ ⴷ ⵉⵎⵙⴻⴷⴷⴻⵏ ⵏ ⵜⴰⵎⴰⵣⵉⵔⵜ ⵏ ⵜⵓⵙⴽⵏⴰ ⴷ ⵎⵓⵀⴰⵎⴷ ⴰⵍⴰⵎ?,faculty_general_info
ⴰⵣⵡⴼ ⵏⵉⵖ ⵜⵙⵏⵎⵓⵔⵜ ⵉⵏⴼⵓⵙⵉⵙ ⵏ ⵜⴼⴰⵙⴰ ⵏ ⵜⵙⴳⴰ ⵏ ⵎⵓⵀⴰⵎⴷ ⴰⵍⴰⵎ?,faculty_general_info
ⵎⴰ ⵏⵓⴳⵍⴰ ⵜⴰⵎⴰⵣⵉⵖⵜ ⵏ ⵜⴼⴰⵙⴰ ⵏ ⵜⵙⴳⴰ?,faculty_general_info
ⵎⴰ ⵍⴽⴰ ⵏⵏⵙⴳⴰⵏ ⵏ ⵓⵙⵎⵎⴰⵙ ⵏⵜⵜ ⵜⵙⴳⴰ?,faculty_general_info
ⵎⵉⵏⵣⵉ ⵎⴰⵏⵜⵉ ⵓⵙⵙⴳⴰⵏ ⵏ ⵜⴼⴰⵙⴰ ⵏ ⵜⵙⴳⴰ ⵏ ⵎⵓⵀⴰⵎⴷ ⴰⵍⴰⵎ?,faculty_general_info
ⵎⴰ ⴷⴷⴰⵢⵏ ⵜⴼⴰⵙⴰ ⵏ ⵜⵙⴳⴰ ⵜⵙⵔⴰⵙ ⴷ ⵜⵉⵍⵍⴰⵏⵜ?,faculty_general_info
ⵎⴰ ⵏⵓⴳⵍⴰ ⵉⵙⵙⵎⵎⴰⵙⵏ ⵏ ⵜⴼⴰⵙⴰ ⵏ ⵜⵙⴳⴰ ⵏ ⵉⵎⵎⴰⵔⴰⵙ ⴷ ⵜⴼⴰⵙⵉⵙⵏ ⵉⵎⵎⴰⵔⵏ?,faculty_general_info
ⴰⵏⴰ ⵜⵉⵖⵍⵉ ⵜⴰⵎⵎⴰⴹⵉⵜ ⵉⵎⵙⵙⵉⴳⵏ ⵏ ⵓⵙⵙⴳⴰⵏ ⴷ ⵓⵙⵎⵎⴰⵙ ⴰⵏⵓⴼⵍⴰⵙ ⵏ ⵜⵙⴳⴰ?,faculty_general_info
ⵎⴰⵏⵉ ⴷ ⵉⴼⴽⴰⵔⴻⵏ ⵏ ⵜⵎⴻⵙⵍⴰⵢⵏ ⵏ ⵍ-ⴼⴰⵇⵓⵍⵜⴻ ⵏ ⵜⵎⴻⵙⵍⴰⵢⵏ?,faculty_general_info  
ⴰⵎⴻⴽ ⵜⵣⵎⴻⵔⴹ ⵍ-ⴼⴰⵇⵓⵍⵜⴻ ⵏ ⵜⵎⴻⵙⵍⴰⵢⵏ ⴰⴷ ⵜⴻⵙⵙⵓⵔⵇⴻⵏ ⵉⵎⴻⴷⵢⴰⵣⴻⵏ?,faculty_general_info  
ⴰⵏⵡⴰ ⴰⴷ ⵜⵙⵏɣ ⵙ ⵏⵏⴻⴽⵏⵉ ⵏ ⵜⵎⴻⵙⵍⴰⵢⵏ?,faculty_general_info  
Quel est le numéro principal pour joindre la faculté des Sciences?,faculty_main_contact
Par quel moyen puis-je appeler le secrétariat de la FSO?,faculty_main_contact
Quel est le standard téléphonique de la faculté?,faculty_main_contact
Comment obtenir la ligne directe de la faculté?,faculty_main_contact
Quel est le contact téléphonique officiel de la FSO?,faculty_main_contact
Existe-t-il un numéro unique pour contacter la faculté?,faculty_main_contact
Quel est le numéro à composer pour les renseignements généraux?,faculty_main_contact
Comment joindre l'accueil de la faculté par téléphone?,faculty_main_contact
Quel est le numéro de l'opératrice de la FSO?,faculty_main_contact
Puis-je avoir le central téléphonique de la faculté?,faculty_main_contact
Quel est le numéro principal pour contacter la faculté des Sciences?,faculty_main_contact
Comment puis-je joindre la FSO par téléphone?,faculty_main_contact
Quel est le numéro du secrétariat de la faculté?,faculty_main_contact
Quel est le contact téléphonique officiel de la FSO?,faculty_main_contact
Par quel numéro puis-je obtenir des renseignements à la faculté?,faculty_main_contact
Comment joindre l'accueil de la FSO par téléphone?,faculty_main_contact
Puis-je avoir le standard téléphonique de la faculté?,faculty_main_contact
What is the main number to reach the Faculty of Science?,faculty_main_contact
How can I call the FSO secretariat?,faculty_main_contact
What is the faculty's telephone switchboard?,faculty_main_contact
How to get the faculty's direct line?,faculty_main_contact
What is the official phone contact of FSO?,faculty_main_contact
Is there a single number to contact the faculty?,faculty_main_contact
What number should I dial for general information?,faculty_main_contact
How to reach the faculty's reception by phone?,faculty_main_contact
What is the FSO operator's number?,faculty_main_contact
Can I have the faculty's phone exchange?,faculty_main_contact
What is the main phone number for the Faculty of Science?,faculty_main_contact
How do I contact the faculty secretariat by phone?,faculty_main_contact
Is there a single contact number for the faculty?,faculty_main_contact
What is the official telephone number of the faculty?,faculty_main_contact
How can I reach the faculty reception by phone?,faculty_main_contact
Can I get the faculty’s switchboard number?,faculty_main_contact
Which number should I dial for general inquiries?,faculty_main_contact
ما هو الرقم الرئيسي للاتصال بكلية العلوم؟,faculty_main_contact
ما هي وسيلة الاتصال الهاتفي بسكرتارية الكلية؟,faculty_main_contact
ما هو رقم السنترال الخاص بالكلية؟,faculty_main_contact
كيف يمكن الحصول على الخط المباشر للكلية؟,faculty_main_contact
ما هي جهة الاتصال الهاتفية الرسمية لكلية العلوم؟,faculty_main_contact
هل يوجد رقم موحد للاتصال بالكلية؟,faculty_main_contact
ما هو الرقم الذي يجب طلبه للحصول على معلومات عامة؟,faculty_main_contact
كيف يمكن الوصول إلى الاستقبال عن طريق الهاتف؟,faculty_main_contact
ما هو رقم موظف الاستقبال في الكلية؟,faculty_main_contact
هل يمكنني الحصول على السنترال الهاتفي للكلية؟,faculty_main_contact
ما هو الرقم الرئيسي للاتصال بكلية العلوم؟,faculty_main_contact
كيف يمكنني الاتصال بكلية العلوم عبر الهاتف؟,faculty_main_contact
ما هو رقم أمانة كلية العلوم؟,faculty_main_contact
ما هو رقم الاتصال الرسمي لكلية العلوم؟,faculty_main_contact
بأي رقم يمكنني الحصول على معلومات من الكلية؟,faculty_main_contact
كيف يمكنني الاتصال بالاستقبال في كلية العلوم؟,faculty_main_contact
هل يمكنني الحصول على رقم السنترال الخاص بالكلية؟,faculty_main_contact
ⵎⴰⵏⵉ ⵜⴳⴰ ⵜⵉⵍⵉⵖⵔⵉ ⵜⴰⵎⵏⵣⵓⵜ ⵉ ⵡⴰⴽⴽⴻⵏ ⴰⴷ ⵏⴻⵔⵎⴻⵙ ⵜⴰⵎⴰⵣⵉⵔⵜ ⵏ ⵜⵓⵙⵙⵏⴰ?,faculty_main_contact  
ⴰⵎⴻⴽ ⴰⵔⴰ ⵙⵙⴰⵡⵍⴻⵖ ⴰⵏⴻⵔⵎⴰⵙ ⵏ FSO?,faculty_main_contact  
ⴷ ⴰⵛⵓ ⵉ ⴷ ⵓⴷⵔⵉⵙ ⵏ ⵜⵉⵍⵉⵖⵔⵉ ⵏ ⵜⴻⵎⴷⵉⵏⵜ?,faculty_main_contact  
ⴰⵎⴻⴽ ⴰⵔⴰ ⴷ-ⵏⴻⵍⵍⵉⵖ ⴰⵙⵡⵉⵔ ⵏ ⵜⵉⵍⵉⵖⵔⵉ ⵏ ⵜⴻⵎⴷⵉⵏⵜ?,faculty_main_contact  
ⴷ ⴰⵛⵓ ⵉ ⴷ ⵓⵏⴻⵔⵎⴰⵙ ⵓⵙⵍⵉⴳ ⵏ ⵜⵉⵍⵉⵖⵔⵉ ⵏ FSO?,faculty_main_contact  
ⵢⴻⵍⵍⴰ-ⴷ ⵓⴷⵔⵉⵙ ⵏ ⵜⵉⵍⵉⵖⵔⵉ ⵢⵉⵡⴻⵏ ⵉ ⵡⴰⴽⴽⴻⵏ ⴰⴷ ⵏⴻⵔⵎⴻⵙ ⵜⴻⵎⴷⵉⵏⵜ?,faculty_main_contact  
ⴷ ⴰⵛⵓ ⵓⴷⵔⵉⵙ ⴰⵔⴰ ⵙⵙⴰⵡⵍⴻⵖ ⵉ ⵜⴰⵍⵖⵓⵜ ⵜⵉⵎⴰⵢⵏⵓⵜⵉⵏ?,faculty_main_contact  
ⴰⵎⴻⴽ ⴰⵔⴰ ⴰⵡḍⴻⵖ ⴰⵔ ⵓⵙⴻⵍⴽⵉⵎ ⵏ ⵜⴰⵎⵙⵓⵍⵜ ⵙ ⵜⵉⵍⵉⵖⵔⵉ?,faculty_main_contact  
ⴷ ⴰⵛⵓ ⵉ ⴷ ⵓⴷⵔⵉⵙ ⵏ ⵓⵏⴻⵔⵎⴰⵙ ⵏ ⵜⵉⵍⵉⵖⵔⵉ ⵏ FSO?,faculty_main_contact  
ⵜⵣⵎⵔⴻⵖ ⴰⴷ ⴷ-ⴰⵡⵉⵖ ⴰⵙⵡⵉⵔ ⵏ ⵜⵉⵍⵉⵖⵔⵉ ⵏ ⵜⴻⵎⴷⵉⵏⵜ?,faculty_main_contact  
ⴰⵎⴰⵣⵉⵖ ⵏⵏⵓⵎⵉⵔ ⴰⵎⵔⴰⵔ ⴰⵔⴰ ⴰⴷ ⵉⵙⴻⵔⴷ ⵏ ⵜⴰⵎⴰⵣⵉⵔⵜ ⵏ ⵜⵓⵙⵙⴰⵏⵜ?,faculty_main_contact
ⴰⵎⴰⵣⵉⵖ ⴰⵔⴰ ⴰⴷ ⵉⵙⴻⵔⴷⵉⵏⵓⵔ ⵜⴰⵎⴰⵣⵉⵖⵉⵏⵓⵔ ⵏ ⴼⵓⵙⵓ?,faculty_main_contact
ⴰⵎⴰⵣⵉⵖ ⵏⵏⵓⵎⵉⵔ ⴰⵎⵔⴰⵔ ⵏ ⵙⵏⴻⵔⵜⵔⴰⵍ ⵏ ⵜⴰⵎⴰⵣⵉⵔⵜ?,faculty_main_contact
ⴰⵎⴰⵣⵉⵖ ⴰⵔⴰ ⵉⵙⴻⵔⴷ ⵏⵏⵓⵎⵉⵔ ⴰⵎⵔⴰⵔ ⵏ ⵜⴰⵎⴰⵣⵉⵔⵜ ⴰⵙⵎⵓⴷⴻⵏ?,faculty_main_contact
ⵎⴰⵏⵏⴰ ⴰⵔⴰ ⴰⴷ ⵜⵉⵔⴻⵏⵓⵔ ⴰⵎⵔⴰⵔ ⵏ ⵉⵣⵡⴰⵔⵏⴻⵏ ⵏ ⵜⴰⵎⴰⵣⵉⵔⵜ?,faculty_main_contact
ⴰⵎⴰⵣⵉⵖ ⴰⵔⴰ ⴰⴷ ⵉⵙⴻⵔⴷ ⵏ ⵜⵓⵙⵙⴰⵏⵜ ⵏ ⴼⵓⵙⵓ ⵏⵏⵓⵎⵉⵔ?,faculty_main_contact
ⴰⵎⴰⵣⵉⵖ ⴰⵔⴰ ⴰⴷ ⵜⵉⵔⴻⵏⵓⵔ ⴰⵎⵔⴰⵔ ⵏ ⵙⵏⴻⵔⵜⵔⴰⵍ ⵏ ⴼⵓⵙⵓ?,faculty_main_contact
Comment contacter le bureau des inscriptions?,registrar_office_contact
Quel est l'email du service de scolarité?,registrar_office_contact
Où se trouve le bureau des inscriptions de la FSO?,registrar_office_contact
Quels sont les horaires d'ouverture de la scolarité?,registrar_office_contact
Comment joindre le bureau des inscriptions?,registrar_office_contact
Quel est le numéro de téléphone du service de scolarité?,registrar_office_contact
Où puis-je trouver le bureau des inscriptions de la FSO?,registrar_office_contact
Quels sont les horaires de travail de la scolarité?,registrar_office_contact
Comment puis-je contacter le service des inscriptions?,registrar_office_contact
Quelle est l'adresse du bureau de la scolarité?,registrar_office_contact
À quelle heure ouvre le bureau des inscriptions?,registrar_office_contact
Comment communiquer avec le service de scolarité?,registrar_office_contact
Où est situé le bureau des inscriptions?,registrar_office_contact
Quel est le contact du service administratif?,registrar_office_contact
Comment envoyer un document au service des inscriptions?,registrar_office_contact
Qui est le responsable du service de scolarité?,registrar_office_contact
