question,intent,lang
Quels sont les atouts de la FSO par rapport aux autres facultés ?,faculty_general_info,fr
Où puis-je consulter les statistiques ou rapports annuels de la faculté ?,faculty_general_info,fr
Quels sont les objectifs éducatifs de la faculté des Sciences?,faculty_general_info,fr
Comment la faculté des Sciences soutient-elle ses étudiants?,faculty_general_info,fr
Où puis-je trouver le calendrier académique de la faculté des Sciences?,faculty_general_info,fr
What is the official description of the Faculty of Science at UMP?,faculty_general_info,en
Can you give me a general overview of FSO?,faculty_general_info,en
What are the basic information about the Faculty of Science?,faculty_general_info,en
How is the Faculty of Science at Mohammed Premier University organized?,faculty_general_info,en
What are the main features of FSO?,faculty_general_info,en
Where can I find general information about the Faculty of Science?,faculty_general_info,en
What is the history of the Faculty of Science's creation?,faculty_general_info,en
What are the main services offered by FSO?,faculty_general_info,en
How to get an information brochure about the faculty?,faculty_general_info,en
Who are the founders of UMP's Faculty of Science?,faculty_general_info,en
Can you give me an overview of the Faculty of Sciences at UMP?,faculty_general_info,en
What is the main mission of the Faculty of Sciences?,faculty_general_info,en
What fields of study are offered by the Faculty of Sciences?,faculty_general_info,en
Since when has the Faculty of Sciences at UMP existed?,faculty_general_info,en
How does the Faculty of Sciences operate on a daily basis?,faculty_general_info,en
What are the strengths of the Faculty of Sciences compared to other faculties?,faculty_general_info,en
Where can I find statistics or annual reports of the faculty?,faculty_general_info,en
What are the educational goals of the Faculty of Science?,faculty_general_info,en
How does the Faculty of Science support its students?,faculty_general_info,en
Where can I find the academic calendar of the Faculty of Science?,faculty_general_info,en
ما هو الوصف الرسمي لكلية العلوم بجامعة محمد الأول؟,faculty_general_info,ar
هل يمكنك إعطائي نظرة عامة عن كلية العلوم؟,faculty_general_info,ar
ما هي المعلومات الأساسية عن كلية العلوم؟,faculty_general_info,ar
كيف يتم تنظيم كلية العلوم بجامعة محمد الأول؟,faculty_general_info,ar
ما هي الخصائص الرئيسية لكلية العلوم؟,faculty_general_info,ar
أين يمكنني العثور على معلومات عامة عن الكلية؟,faculty_general_info,ar
ما هو تاريخ تأسيس كلية العلوم؟,faculty_general_info,ar
ما هي الخدمات الرئيسية التي تقدمها الكلية؟,faculty_general_info,ar
كيف يمكن الحصول على كتيب معلومات عن الكلية؟,faculty_general_info,ar
من هم مؤسسو كلية العلوم بجامعة محمد الأول؟,faculty_general_info,ar
هل يمكنك تقديم لمحة عن كلية العلوم بجامعة محمد الأول؟,faculty_general_info,ar
ما هي المهمة الرئيسية لكلية العلوم؟,faculty_general_info,ar
ما هي مجالات التعليم التي تقدمها كلية العلوم؟,faculty_general_info,ar
منذ متى توجد كلية العلوم بجامعة محمد الأول؟,faculty_general_info,ar
كيف تعمل كلية العلوم في حياتها اليومية؟,faculty_general_info,ar
ما هي مميزات كلية العلوم مقارنة بالكليات الأخرى؟,faculty_general_info,ar
أين يمكنني الاطلاع على الإحصائيات أو التقارير السنوية للكلية؟,faculty_general_info,ar
ما هي الأهداف التعليمية لكلية العلوم؟,faculty_general_info,ar
كيف تدعم كلية العلوم طلابها؟,faculty_general_info,ar
أين يمكنني العثور على التقويم الأكاديمي لكلية العلوم؟,faculty_general_info,ar
Quel est le numéro principal pour joindre la faculté des Sciences?,faculty_main_contact,fr
Par quel moyen puis-je appeler le secrétariat de la FSO?,faculty_main_contact,fr
Quel est le standard téléphonique de la faculté?,faculty_main_contact,fr
Comment obtenir la ligne directe de la faculté?,faculty_main_contact,fr
Quel est le contact téléphonique officiel de la FSO?,faculty_main_contact,fr
Existe-t-il un numéro unique pour contacter la faculté?,faculty_main_contact,fr
Quel est le numéro à composer pour les renseignements généraux?,faculty_main_contact,fr
Comment joindre l'accueil de la faculté par téléphone?,faculty_main_contact,fr
Quel est le numéro de l'opératrice de la FSO?,faculty_main_contact,fr
Puis-je avoir le central téléphonique de la faculté?,faculty_main_contact,fr
Quel est le numéro principal pour contacter la faculté des Sciences?,faculty_main_contact,fr
Comment puis-je joindre la FSO par téléphone?,faculty_main_contact,fr
Quel est le numéro du secrétariat de la faculté?,faculty_main_contact,fr
Quel est le contact téléphonique officiel de la FSO?,faculty_main_contact,fr
Par quel numéro puis-je obtenir des renseignements à la faculté?,faculty_main_contact,fr
Comment joindre l'accueil de la FSO par téléphone?,faculty_main_contact,fr
Puis-je avoir le standard téléphonique de la faculté?,faculty_main_contact,fr
What is the main number to reach the Faculty of Science?,faculty_main_contact,en
How can I call the FSO secretariat?,faculty_main_contact,en
What is the faculty's telephone switchboard?,faculty_main_contact,en
How to get the faculty's direct line?,faculty_main_contact,en
What is the official phone contact of FSO?,faculty_main_contact,en
Is there a single number to contact the faculty?,faculty_main_contact,en
What number should I dial for general information?,faculty_main_contact,en
How to reach the faculty's reception by phone?,faculty_main_contact,en
What is the FSO operator's number?,faculty_main_contact,en
Can I have the faculty's phone exchange?,faculty_main_contact,en
What is the main phone number for the Faculty of Science?,faculty_main_contact,en
How do I contact the faculty secretariat by phone?,faculty_main_contact,en
Is there a single contact number for the faculty?,faculty_main_contact,en
What is the official telephone number of the faculty?,faculty_main_contact,en
How can I reach the faculty reception by phone?,faculty_main_contact,en
Can I get the faculty’s switchboard number?,faculty_main_contact,en
Which number should I dial for general inquiries?,faculty_main_contact,en
ما هو الرقم الرئيسي للاتصال بكلية العلوم؟,faculty_main_contact,ar
ما هي وسيلة الاتصال الهاتفي بسكرتارية الكلية؟,faculty_main_contact,ar
ما هو رقم السنترال الخاص بالكلية؟,faculty_main_contact,ar
كيف يمكن الحصول على الخط المباشر للكلية؟,faculty_main_contact,ar
ما هي جهة الاتصال الهاتفية الرسمية لكلية العلوم؟,faculty_main_contact,ar
هل يوجد رقم موحد للاتصال بالكلية؟,faculty_main_contact,ar
ما هو الرقم الذي يجب طلبه للحصول على معلومات عامة؟,faculty_main_contact,ar
كيف يمكن الوصول إلى الاستقبال عن طريق الهاتف؟,faculty_main_contact,ar
ما هو رقم موظف الاستقبال في الكلية؟,faculty_main_contact,ar
هل يمكنني الحصول على السنترال الهاتفي للكلية؟,faculty_main_contact,ar
ما هو الرقم الرئيسي للاتصال بكلية العلوم؟,faculty_main_contact,ar
كيف يمكنني الاتصال بكلية العلوم عبر الهاتف؟,faculty_main_contact,ar
ما هو رقم أمانة كلية العلوم؟,faculty_main_contact,ar
ما هو رقم الاتصال الرسمي لكلية العلوم؟,faculty_main_contact,ar
بأي رقم يمكنني الحصول على معلومات من الكلية؟,faculty_main_contact,ar
كيف يمكنني الاتصال بالاستقبال في كلية العلوم؟,faculty_main_contact,ar
هل يمكنني الحصول على رقم السنترال الخاص بالكلية؟,faculty_main_contact,ar
Comment contacter le bureau des inscriptions?,registrar_office_contact,fr
Quel est l'email du service de scolarité?,registrar_office_contact,fr
Où se trouve le bureau des inscriptions de la FSO?,registrar_office_contact,fr
Quels sont les horaires d'ouverture de la scolarité?,registrar_office_contact,fr
Comment joindre le bureau des inscriptions?,registrar_office_contact,fr
Quel est le numéro de téléphone du service de scolarité?,registrar_office_contact,fr
Où puis-je trouver le bureau des inscriptions de la FSO?,registrar_office_contact,fr
Quels sont les horaires de travail de la scolarité?,registrar_office_contact,fr
Comment puis-je contacter le service des inscriptions?,registrar_office_contact,fr
Quelle est l'adresse du bureau de la scolarité?,registrar_office_contact,fr
À quelle heure ouvre le bureau des inscriptions?,registrar_office_contact,fr
Comment communiquer avec le service de scolarité?,registrar_office_contact,fr
Où est situé le bureau des inscriptions?,registrar_office_contact,fr
Quel est le contact du service administratif?,registrar_office_contact,fr
Comment envoyer un document au service des inscriptions?,registrar_office_contact,fr
Qui est le responsable du service de scolarité?,registrar_office_contact,fr
Comment prendre rendez-vous avec la scolarité?,registrar_office_contact,fr
Quel est le numéro interne du bureau des inscriptions?,registrar_office_contact,fr
Comment faire une demande écrite à la scolarité?,registrar_office_contact,fr
Quelle est l'adresse postale du service des inscriptions?,registrar_office_contact,fr
How to contact the registrar's office?,registrar_office_contact,en
What is the registrar's office phone number?,registrar_office_contact,en
Where can I find the FSO registrar's office?,registrar_office_contact,en
What are the registrar's office working hours?,registrar_office_contact,en
How can I reach the enrollment office?,registrar_office_contact,en
What is the address of the registrar's office?,registrar_office_contact,en
What time does the registrar's office open?,registrar_office_contact,en
How to communicate with the registrar's office?,registrar_office_contact,en
Where is the registrar's office located?,registrar_office_contact,en
What is the contact for the administrative service?,registrar_office_contact,en
What is the email of the admissions office?,registrar_office_contact,en
Where is the FSO registrar's office located?,registrar_office_contact,en
What are the opening hours of the registrar's office?,registrar_office_contact,en
How to send a document to the admissions office?,registrar_office_contact,en
Who is the head of the registrar's office?,registrar_office_contact,en
How to make an appointment with the registrar?,registrar_office_contact,en
What is the internal number of the admissions office?,registrar_office_contact,en
How to submit a written request to the registrar?,registrar_office_contact,en
What is the mailing address of the admissions office?,registrar_office_contact,en
كيف أتصل بمكتب التسجيل؟,registrar_office_contact,ar
ما هو رقم هاتف مصلحة الدراسة؟,registrar_office_contact,ar
أين يمكنني العثور على مكتب التسجيل في كلية العلوم؟,registrar_office_contact,ar
ما هي ساعات عمل مصلحة الدراسة؟,registrar_office_contact,ar
كيف يمكنني الوصول إلى مكتب القيد؟,registrar_office_contact,ar
ما هو عنوان مكتب الدراسة؟,registrar_office_contact,ar
في أي وقت يفتح مكتب التسجيل؟,registrar_office_contact,ar
كيف أتواصل مع مصلحة الدراسة؟,registrar_office_contact,ar
أين يقع مكتب التسجيل؟,registrar_office_contact,ar
ما هو الاتصال للمصلحة الإدارية؟,registrar_office_contact,ar
كيف يمكن الاتصال بمكتب التسجيل؟,registrar_office_contact,ar
ما هو البريد الإلكتروني لمكتب القبول؟,registrar_office_contact,ar
أين يقع مكتب التسجيل في كلية العلوم؟,registrar_office_contact,ar
ما هي أوقات عمل مكتب التسجيل؟,registrar_office_contact,ar
كيف يمكن إرسال مستند إلى مكتب القبول؟,registrar_office_contact,ar
من هو المسؤول عن مكتب التسجيل؟,registrar_office_contact,ar
كيف يمكن حجز موعد مع المسجل؟,registrar_office_contact,ar
ما هو الرقم الداخلي لمكتب القبول؟,registrar_office_contact,ar
كيف يمكن تقديم طلب كتابي إلى المسجل؟,registrar_office_contact,ar
ما هو العنوان البريدي لمكتب التسجيل؟,registrar_office_contact,ar
Quand commence la période d'examens du printemps 2024-2025?,examen_du_semestre_de_printemps_2024_2025,fr
Quelle est la date précise du début des examens?,examen_du_semestre_de_printemps_2024_2025,fr
Comment connaître le calendrier des examens?,examen_du_semestre_de_printemps_2024_2025,fr
Où trouver les dates des épreuves du semestre de printemps?,examen_du_semestre_de_printemps_2024_2025,fr
Quelle est la durée de la session d'examens?,examen_du_semestre_de_printemps_2024_2025,fr
Les examens sont-ils regroupés sur une ou deux semaines?,examen_du_semestre_de_printemps_2024_2025,fr
Quand se terminent les examens du printemps?,examen_du_semestre_de_printemps_2024_2025,fr
Y a-t-il des changements prévus dans le calendrier des examens?,examen_du_semestre_de_printemps_2024_2025,fr
Comment seront organisés les examens cette année?,examen_du_semestre_de_printemps_2024_2025,fr
Quelles sont les modalités des examens du printemps?,examen_du_semestre_de_printemps_2024_2025,fr
Quand aura lieu la session d'examens de printemps 2024-2025 ?,examen_du_semestre_de_printemps_2024_2025,fr
Peux-tu me donner la date du premier examen ?,examen_du_semestre_de_printemps_2024_2025,fr
Comment consulter le programme complet des examens ?,examen_du_semestre_de_printemps_2024_2025,fr
À quelle heure commencent généralement les examens ?,examen_du_semestre_de_printemps_2024_2025,fr
Où puis-je vérifier les horaires des examens ?,examen_du_semestre_de_printemps_2024_2025,fr
Combien de jours durent les épreuves ?,examen_du_semestre_de_printemps_2024_2025,fr
Y aura-t-il des pauses entre les examens ?,examen_du_semestre_de_printemps_2024_2025,fr
When does the spring 2024-2025 exam period begin?,examen_du_semestre_de_printemps_2024_2025,en
What is the exact start date of exams?,examen_du_semestre_de_printemps_2024_2025,en
How to know the exam schedule?,examen_du_semestre_de_printemps_2024_2025,en
Where to find spring semester exam dates?,examen_du_semestre_de_printemps_2024_2025,en
What is the duration of the exam session?,examen_du_semestre_de_printemps_2024_2025,en
Are exams scheduled over one or two weeks?,examen_du_semestre_de_printemps_2024_2025,en
When do spring exams end?,examen_du_semestre_de_printemps_2024_2025,en
Are there any expected changes to the exam schedule?,examen_du_semestre_de_printemps_2024_2025,en
How will exams be organized this year?,examen_du_semestre_de_printemps_2024_2025,en
What are the modalities of spring exams?,examen_du_semestre_de_printemps_2024_2025,en
When will the spring 2024-2025 exams take place?,examen_du_semestre_de_printemps_2024_2025,en
What is the first subject in the exam schedule?,examen_du_semestre_de_printemps_2024_2025,en
How can I check the complete exam timetable?,examen_du_semestre_de_printemps_2024_2025,en
What time do the exams usually start?,examen_du_semestre_de_printemps_2024_2025,en
Where can I find the official exam dates?,examen_du_semestre_de_printemps_2024_2025,en
How many days will the exams last?,examen_du_semestre_de_printemps_2024_2025,en
Will there be breaks between exams?,examen_du_semestre_de_printemps_2024_2025,en
متى تبدأ فترة امتحانات الربيع 2024-2025؟,examen_du_semestre_de_printemps_2024_2025,ar
ما هو التاريخ الدقيق لبداية الامتحانات؟,examen_du_semestre_de_printemps_2024_2025,ar
كيف يمكن معرفة جدول الامتحانات؟,examen_du_semestre_de_printemps_2024_2025,ar
أين يمكن العثور على مواعيد امتحانات فصل الربيع؟,examen_du_semestre_de_printemps_2024_2025,ar
ما هي مدة فترة الامتحانات؟,examen_du_semestre_de_printemps_2024_2025,ar
هل تتركز الامتحانات في أسبوع أم أسبوعين؟,examen_du_semestre_de_printemps_2024_2025,ar
متى تنتهي امتحانات الربيع؟,examen_du_semestre_de_printemps_2024_2025,ar
هل هناك أي تغييرات متوقعة في جدول الامتحانات؟,examen_du_semestre_de_printemps_2024_2025,ar
كيف سيتم تنظيم الامتحانات هذا العام؟,examen_du_semestre_de_printemps_2024_2025,ar
ما هي شروط امتحانات الربيع؟,examen_du_semestre_de_printemps_2024_2025,ar
متى تبدأ امتحانات الفصل الربيعي 2024-2025؟,examen_du_semestre_de_printemps_2024_2025,ar
ما هي أول مادة سيتم اختبارها؟,examen_du_semestre_de_printemps_2024_2025,ar
كيف يمكنني الاطلاع على جدول الامتحانات بالكامل؟,examen_du_semestre_de_printemps_2024_2025,ar
في أي وقت تبدأ الامتحانات عادةً؟,examen_du_semestre_de_printemps_2024_2025,ar
أين أجد مواعيد الامتحانات الرسمية؟,examen_du_semestre_de_printemps_2024_2025,ar
كم عدد الأيام التي تستغرقها الامتحانات؟,examen_du_semestre_de_printemps_2024_2025,ar
هل توجد فترات استراحة بين الامتحانات؟,examen_du_semestre_de_printemps_2024_2025,ar
Quels sont les clubs sportifs disponibles à la FSO?,clubs_et_activites,fr
Comment participer aux activités culturelles?,clubs_et_activites,fr
Y a-t-il un club de débat en anglais?,clubs_et_activites,fr
Quand ont lieu les réunions du club scientifique?,clubs_et_activites,fr
Comment créer un nouveau club étudiant?,clubs_et_activites,fr
Quelles activités extrascolaires sont proposées?,clubs_et_activites,fr
Existe-t-il un club d'échecs à la FSO?,clubs_et_activites,fr
Qui contacter pour rejoindre un club?,clubs_et_activites,fr
Quels sont les horaires des activités sportives?,clubs_et_activites,fr
Y a-t-il des compétitions inter-facultés?,clubs_et_activites,fr
Quels clubs artistiques sont disponibles à la FSO ?,clubs_et_activites,fr
Comment s'inscrire à un club de musique ?,clubs_et_activites,fr
Où puis-je trouver la liste complète des clubs ?,clubs_et_activites,fr
Y a-t-il des ateliers de théâtre organisés cette année ?,clubs_et_activites,fr
Le club de photographie est-il ouvert aux débutants ?,clubs_et_activites,fr
Quels événements culturels sont prévus ce semestre ?,clubs_et_activites,fr
Comment savoir si un club recrute de nouveaux membres ?,clubs_et_activites,fr
Peut-on participer à plusieurs clubs en même temps ?,clubs_et_activites,fr
Existe-t-il un club dédié aux voyages ou randonnées ?,clubs_et_activites,fr
Qui est responsable de la coordination des clubs ?,clubs_et_activites,fr
What sports clubs are available at FSO?,clubs_et_activites,en
How to participate in cultural activities?,clubs_et_activites,en
Is there an English debate club?,clubs_et_activites,en
When does the science club meet?,clubs_et_activites,en
How to create a new student club?,clubs_et_activites,en
What extracurricular activities are offered?,clubs_et_activites,en
Is there a chess club at FSO?,clubs_et_activites,en
What artistic clubs are available at the FSO?,clubs_et_activites,en
How can I register for the music club?,clubs_et_activites,en
Where can I find the full list of clubs?,clubs_et_activites,en
Are there any theater workshops this year?,clubs_et_activites,en
Is the photography club open to beginners?,clubs_et_activites,en
What cultural events are planned this semester?,clubs_et_activites,en
How can I know if a club is recruiting new members?,clubs_et_activites,en
Can I join multiple clubs at the same time?,clubs_et_activites,en
Is there a club for travel or hiking?,clubs_et_activites,en
Who is in charge of coordinating the clubs?,clubs_et_activites,en
ما هي الأندية الرياضية المتاحة في الكلية؟,clubs_et_activites,ar
كيف يمكن المشاركة في الأنشطة الثقافية؟,clubs_et_activites,ar
هل يوجد نادي للمناظرات باللغة الإنجليزية؟,clubs_et_activites,ar
متى تعقد اجتماعات النادي العلمي؟,clubs_et_activites,ar
كيف يمكن إنشاء نادي طلابي جديد؟,clubs_et_activites,ar
ما هي الأنشطة اللامنهجية المقدمة؟,clubs_et_activites,ar
هل يوجد نادي للشطرنج في الكلية؟,clubs_et_activites,ar
من أتصل للانضمام إلى نادي؟,clubs_et_activites,ar
ما هي أوقات الأنشطة الرياضية؟,clubs_et_activites,ar
هل هناك مسابقات بين الكليات؟,clubs_et_activites,ar
ما هي الأندية الفنية المتوفرة في الكلية؟,clubs_et_activites,ar
كيف يمكنني التسجيل في نادي الموسيقى؟,clubs_et_activites,ar
أين أجد القائمة الكاملة للأندية؟,clubs_et_activites,ar
هل يتم تنظيم ورش مسرح هذا العام؟,clubs_et_activites,ar
هل نادي التصوير الفوتوغرافي مفتوح للمبتدئين؟,clubs_et_activites,ar
ما هي الأنشطة الثقافية المقررة هذا الفصل؟,clubs_et_activites,ar
كيف أعرف إذا كان النادي يستقبل أعضاء جدد؟,clubs_et_activites,ar
هل يمكن الانضمام إلى أكثر من نادٍ في نفس الوقت؟,clubs_et_activites,ar
هل يوجد نادٍ خاص بالسفر أو الرحلات؟,clubs_et_activites,ar
من المسؤول عن تنسيق أنشطة الأندية؟,clubs_et_activites,ar
Comment puis-je contacter le bureau administratif de la faculté?,administration_contact,fr
Quels sont les moyens disponibles pour joindre l'administration de la FSO?,administration_contact,fr
Où trouver les coordonnées complètes du service administratif?,administration_contact,fr
Existe-t-il un numéro direct pour l'administration facultaire?,administration_contact,fr
Quel est le meilleur moment pour appeler l'administration de la faculté?,administration_contact,fr
Comment envoyer un courrier à l'administration de la FSO?,administration_contact,fr
Y a-t-il un accueil physique pour l'administration de la faculté?,administration_contact,fr
Qui contacter en cas de problème administratif à la faculté?,administration_contact,fr
Comment obtenir une réponse rapide de l'administration universitaire?,administration_contact,fr
Existe-t-il un formulaire en ligne pour contacter l'administration?,administration_contact,fr
Comment joindre le secrétariat de la faculté ?,administration_contact,fr
Où puis-je trouver l’adresse e-mail officielle de l’administration ?,administration_contact,fr
Peut-on contacter l’administration via WhatsApp ?,administration_contact,en
Y a-t-il un guichet d’information pour les étudiants ?,administration_contact,fr
Comment demander un rendez-vous avec l’administration ?,administration_contact,fr
À qui s’adresser pour une question administrative urgente ?,administration_contact,fr
Quels sont les horaires d’ouverture de l’administration ?,administration_contact,fr
Comment contacter le service des étudiants ?,administration_contact,fr
Existe-t-il une permanence téléphonique pour les étudiants ?,administration_contact,fr
Peut-on envoyer ses documents par e-mail à l’administration ?,administration_contact,fr
What's the procedure to reach the faculty's administrative office?,administration_contact,en
Where can I find the complete admin contact details?,administration_contact,en
Is there a dedicated email for faculty administration inquiries?,administration_contact,en
What are the operating hours of the admin office?,administration_contact,en
How to schedule an appointment with faculty administration?,administration_contact,en
Which building houses the faculty's administrative services?,administration_contact,en
Can I contact faculty administration through social media?,administration_contact,en
What's the response time for admin email inquiries?,administration_contact,en
Are there different contacts for various admin services?,administration_contact,en
How to reach admin staff during holidays?,administration_contact,en
How can I reach the faculty’s secretary office?,administration_contact,en
Where can I find the official administration email address?,administration_contact,en
Can I contact the administration via WhatsApp?,administration_contact,en
Is there an information desk for students?,administration_contact,en
How can I request an appointment with the administration?,administration_contact,en
Who should I contact for urgent administrative matters?,administration_contact,en
What are the administration’s working hours?,administration_contact,en
How can I get in touch with the student affairs office?,administration_contact,en
Is there a dedicated phone line for students?,administration_contact,en
Can I send my documents to the administration by email?,administration_contact,en
ما هي قنوات التواصل مع الإدارة الجامعية؟,administration_contact,ar
هل يوجد رقم هاتف مباشر لشؤون الطلاب؟,administration_contact,ar
أين يقع مكتب الشؤون الإدارية في الكلية؟,administration_contact,ar
ما هي ساعات العمل الرسمية للإدارة؟,administration_contact,ar
كيف يمكن التواصل مع المسؤولين الإداريين؟,administration_contact,ar
هل يوجد نظام تذاكر إلكتروني للاستفسارات الإدارية؟,administration_contact,ar
ما هو البريد الإلكتروني الرسمي للشؤون الأكاديمية؟,administration_contact,ar
كيف أتقدم بشكوى إدارية؟,administration_contact,ar
ما هي الوثائق المطلوبة للمعاملات الإدارية؟,administration_contact,ar
هل توجد خدمة محادثة فورية مع الإدارة؟,administration_contact,ar
كيف يمكنني التواصل مع أمانة الكلية؟,administration_contact,ar
أين أجد البريد الإلكتروني الرسمي للإدارة؟,administration_contact,ar
هل يمكن التواصل مع الإدارة عبر واتساب؟,administration_contact,ar
هل يوجد مكتب استقبال للطلاب؟,administration_contact,ar
كيف يمكن طلب موعد مع الإدارة؟,administration_contact,ar
إلى من أتوجه في حال وجود مسألة إدارية عاجلة؟,administration_contact,ar
ما هي أوقات عمل الإدارة؟,administration_contact,ar
كيف أتواصل مع مصلحة شؤون الطلبة؟,administration_contact,ar
هل هناك خط هاتفي مخصص للطلاب؟,administration_contact,ar
هل يمكن إرسال الوثائق عبر البريد الإلكتروني للإدارة؟,administration_contact,ar
Où trouver le numéro de la bibliothèque universitaire?,library_contact,fr
Comment puis-je appeler la bibliothèque?,library_contact,fr
Quel contact pour les services de prêt?,library_contact,fr
Y a-t-il une assistance téléphonique à la bibliothèque?,library_contact,fr
Comment joindre les bibliothécaires?,library_contact,fr
Quel est le contact du service documentaire?,library_contact,fr
Comment contacter l'accueil de la bibliothèque?,library_contact,fr
Où puis-je trouver les coordonnées de la bibliothèque?,library_contact,fr
Comment signaler un problème à la bibliothèque?,library_contact,fr
